starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 17 12:06:57 2017	1502989617	44	266	309	257
Thu Aug 17 12:06:57 2017	1502989617	44	266	310	257
Thu Aug 17 12:06:51 2017	1502989611	79	230	310	114
Thu Aug 17 12:06:52 2017	1502989612	51	259	310	220
Thu Aug 17 12:06:50 2017	1502989610	21	289	310	242
Thu Aug 17 12:06:50 2017	1502989610	21	289	310	242
Thu Aug 17 12:06:50 2017	1502989610	21	289	310	242
Thu Aug 17 12:07:02 2017	1502989622	36	274	311	223
Thu Aug 17 12:07:02 2017	1502989622	36	274	311	234
Thu Aug 17 12:07:02 2017	1502989622	36	274	311	234
Thu Aug 17 12:07:02 2017	1502989622	36	274	311	234
Thu Aug 17 12:06:52 2017	1502989612	51	260	311	220
Thu Aug 17 12:06:53 2017	1502989613	34	277	311	270
Thu Aug 17 12:06:52 2017	1502989612	51	260	311	220
Thu Aug 17 12:06:52 2017	1502989612	51	260	311	220
Thu Aug 17 12:06:53 2017	1502989613	34	277	311	270
Thu Aug 17 12:06:52 2017	1502989612	37	274	311	213
Thu Aug 17 12:06:53 2017	1502989613	34	277	311	268
Thu Aug 17 12:06:57 2017	1502989617	55	257	312	253
Thu Aug 17 12:06:57 2017	1502989617	52	261	312	246
Thu Aug 17 12:06:57 2017	1502989617	55	257	312	253
Thu Aug 17 12:06:57 2017	1502989617	52	261	312	246
Thu Aug 17 12:06:57 2017	1502989617	55	257	312	253
Thu Aug 17 12:06:57 2017	1502989617	55	257	312	249
Thu Aug 17 12:06:57 2017	1502989617	55	258	313	249
Thu Aug 17 12:07:02 2017	1502989622	101	212	313	147
Thu Aug 17 12:07:02 2017	1502989622	101	212	313	196
Thu Aug 17 12:07:02 2017	1502989622	101	212	313	196
Thu Aug 17 12:07:02 2017	1502989622	101	212	313	196
Thu Aug 17 12:07:02 2017	1502989622	101	212	313	196
Thu Aug 17 12:06:55 2017	1502989615	163	151	313	122
Thu Aug 17 12:06:55 2017	1502989615	160	153	313	125
Thu Aug 17 12:06:55 2017	1502989615	160	153	313	125
Thu Aug 17 12:06:55 2017	1502989615	160	153	313	125
Thu Aug 17 12:06:55 2017	1502989615	163	151	313	133
Thu Aug 17 12:06:57 2017	1502989617	89	224	313	159
Thu Aug 17 12:06:57 2017	1502989617	89	224	314	159
Thu Aug 17 12:06:57 2017	1502989617	89	224	314	159
Thu Aug 17 12:06:57 2017	1502989617	89	224	314	159
Thu Aug 17 12:06:57 2017	1502989617	89	224	314	159
Thu Aug 17 12:06:57 2017	1502989617	89	224	314	159
Thu Aug 17 12:06:57 2017	1502989617	89	224	314	159
Thu Aug 17 12:06:56 2017	1502989616	54	260	314	260
Thu Aug 17 12:06:56 2017	1502989616	54	260	314	260
Thu Aug 17 12:06:57 2017	1502989617	89	224	314	159
Thu Aug 17 12:06:57 2017	1502989617	89	224	314	159
Thu Aug 17 12:06:51 2017	1502989611	162	153	316	136
Thu Aug 17 12:06:51 2017	1502989611	150	165	316	142
Thu Aug 17 12:06:51 2017	1502989611	150	165	316	142
Thu Aug 17 12:07:02 2017	1502989622	91	225	316	219
Thu Aug 17 12:06:50 2017	1502989610	25	291	316	238
Thu Aug 17 12:07:03 2017	1502989623	84	236	319	222
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	222
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	222
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	222
Thu Aug 17 12:06:53 2017	1502989613	63	257	320	195
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	233
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	222
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	232
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	222
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	222
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	222
Thu Aug 17 12:07:03 2017	1502989623	84	236	320	210
Thu Aug 17 12:06:56 2017	1502989616	61	260	321	260
Thu Aug 17 12:06:53 2017	1502989613	14	308	322	303
Thu Aug 17 12:06:55 2017	1502989615	16	306	322	260
Thu Aug 17 12:06:53 2017	1502989613	21	303	324	277
Thu Aug 17 12:06:53 2017	1502989613	21	303	324	277
Thu Aug 17 12:06:53 2017	1502989613	21	303	324	277
Thu Aug 17 12:06:51 2017	1502989611	132	192	325	192
Thu Aug 17 12:06:56 2017	1502989616	65	260	325	260
Thu Aug 17 12:06:56 2017	1502989616	65	260	325	260
Thu Aug 17 12:06:56 2017	1502989616	65	260	325	260
Thu Aug 17 12:06:56 2017	1502989616	65	260	325	260
Thu Aug 17 12:06:57 2017	1502989617	158	167	325	124
Thu Aug 17 12:06:53 2017	1502989613	11	315	326	307
Thu Aug 17 12:06:53 2017	1502989613	20	307	326	299
Thu Aug 17 12:06:53 2017	1502989613	94	232	326	225
Thu Aug 17 12:06:53 2017	1502989613	94	232	327	220
Thu Aug 17 12:06:55 2017	1502989615	14	313	327	266
Thu Aug 17 12:06:55 2017	1502989615	14	313	327	266
Thu Aug 17 12:06:55 2017	1502989615	11	316	327	269
Thu Aug 17 12:06:55 2017	1502989615	11	316	327	267
Thu Aug 17 12:06:55 2017	1502989615	64	263	327	262
Thu Aug 17 12:06:53 2017	1502989613	20	308	327	303
Thu Aug 17 12:06:56 2017	1502989616	54	275	328	260
Thu Aug 17 12:06:56 2017	1502989616	54	275	329	260
Thu Aug 17 12:06:55 2017	1502989615	64	265	329	262
Thu Aug 17 12:06:55 2017	1502989615	64	265	329	262
Thu Aug 17 12:06:55 2017	1502989615	61	268	329	265
Thu Aug 17 12:06:55 2017	1502989615	61	268	329	265
Thu Aug 17 12:06:55 2017	1502989615	61	268	329	265
Thu Aug 17 12:06:55 2017	1502989615	61	268	329	265
Thu Aug 17 12:06:53 2017	1502989613	109	220	329	162
Thu Aug 17 12:06:53 2017	1502989613	101	229	329	226
Thu Aug 17 12:06:53 2017	1502989613	109	220	329	166
Thu Aug 17 12:06:53 2017	1502989613	94	235	329	232
Thu Aug 17 12:06:53 2017	1502989613	94	235	330	232
Thu Aug 17 12:06:53 2017	1502989613	94	236	330	232
Thu Aug 17 12:06:53 2017	1502989613	94	236	330	225
Thu Aug 17 12:06:53 2017	1502989613	16	315	331	306
Thu Aug 17 12:06:51 2017	1502989611	139	192	331	192
Thu Aug 17 12:06:53 2017	1502989613	101	230	331	226
Thu Aug 17 12:06:51 2017	1502989611	67	264	331	264
Thu Aug 17 12:06:53 2017	1502989613	101	230	331	229
Thu Aug 17 12:06:53 2017	1502989613	101	230	331	229
Thu Aug 17 12:06:51 2017	1502989611	67	264	331	264
Thu Aug 17 12:06:55 2017	1502989615	18	313	331	291
Thu Aug 17 12:06:59 2017	1502989619	88	243	332	234
Thu Aug 17 12:06:59 2017	1502989619	88	243	332	227
Thu Aug 17 12:06:55 2017	1502989615	64	268	332	263
Thu Aug 17 12:06:53 2017	1502989613	101	232	332	229
Thu Aug 17 12:06:55 2017	1502989615	24	309	333	304
Thu Aug 17 12:06:55 2017	1502989615	24	309	333	304
Thu Aug 17 12:06:55 2017	1502989615	23	310	333	305
Thu Aug 17 12:06:55 2017	1502989615	21	313	334	278
Thu Aug 17 12:06:53 2017	1502989613	17	317	335	310
Thu Aug 17 12:06:54 2017	1502989614	10	325	335	286
Thu Aug 17 12:06:54 2017	1502989614	10	325	335	286
Thu Aug 17 12:06:54 2017	1502989614	10	325	335	286
Thu Aug 17 12:06:54 2017	1502989614	10	325	335	286
Thu Aug 17 12:06:56 2017	1502989616	80	256	336	252
Thu Aug 17 12:06:56 2017	1502989616	80	256	336	252
Thu Aug 17 12:06:56 2017	1502989616	80	256	336	252
Thu Aug 17 12:06:56 2017	1502989616	80	256	336	252
Thu Aug 17 12:06:53 2017	1502989613	19	317	336	306
Thu Aug 17 12:06:53 2017	1502989613	19	317	336	309
Thu Aug 17 12:07:05 2017	1502989625	79	258	336	188
Thu Aug 17 12:07:05 2017	1502989625	79	258	337	188
Thu Aug 17 12:06:57 2017	1502989617	59	278	337	207
Thu Aug 17 12:06:51 2017	1502989611	73	264	337	230
Thu Aug 17 12:06:57 2017	1502989617	59	279	337	225
Thu Aug 17 12:06:55 2017	1502989615	23	314	337	305
Thu Aug 17 12:06:57 2017	1502989617	59	279	337	225
Thu Aug 17 12:06:51 2017	1502989611	73	264	337	230
Thu Aug 17 12:06:55 2017	1502989615	213	125	338	93
